﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:216s443orFzxEcZeZAEgP6","Only Heaven - Matthew Herbert Remix","Coldcut, Roots Manuva, Matthew Herbert","Only Heaven (Remixed)","1","1","410400","spotify:user:yaydevally","2016-12-20T16:46:31Z"
"spotify:track:2agb1CPPGWXqXnrKn6cx7u","Archangel","Burial","Untrue","1","2","238426","spotify:user:yaydevally","2016-12-23T07:23:36Z"
"spotify:track:5xAhLE4FUFD5iIks3dwmHv","Thicker Than Water (Feat. Tiana Khasi)","Sampology, Tiana Khasi","Thicker Than Water (Feat. Tiana Khasi)","1","1","268615","spotify:user:yaydevally","2016-12-23T12:55:47Z"
"spotify:track:5DFh6liEi5d3xS1gtjwCAA","Itchy","Siriusmo","Enthusiast (Album Sampler)","1","4","212581","spotify:user:yaydevally","2016-12-23T13:00:26Z"
"spotify:track:5NbasL13ZyTu02X1R5XILi","Ordinary Man","Chinese Man","The Groove Sessions, Vol. 2","1","7","218359","spotify:user:yaydevally","2016-12-23T13:04:07Z"
"spotify:track:2G9TiCvIVB1EXsy1OE30Pz","Another Introduction","Damu The Fudgemunk","How It Should Sound, Vol. 1 & 2","1","2","180825","spotify:user:yaydevally","2016-12-23T13:29:36Z"
"spotify:track:3VFpD682pisX0sSjcFFUQn","Ike's Mood I","Visioneers","Dirty Old Hip Hop","1","3","261333","spotify:user:yaydevally","2016-12-23T13:35:42Z"
"spotify:track:2Nv4vhN0jO3Acvgywgw2sw","Mad Techno Invasion","Wallwork, RzR","Mad Techno Invasion","1","3","215111","spotify:user:yaydevally","2016-12-23T13:35:52Z"
"spotify:track:6kfokZl9BuXPOtvNMsclV2","Don't Go - Original Mix","Justin Martin","Ghettos & Gardens","1","2","301155","spotify:user:yaydevally","2016-12-23T13:40:58Z"
"spotify:track:3Ee089i84NBYu6XdTeXOzq","Seeking Closure","DVTCH NORRIS","Seeking Closure","1","1","199100","spotify:user:yaydevally","2016-12-23T13:46:34Z"
"spotify:track:22KsDqTNLAaPP3EH6Sx5do","Blackbird","Fat Freddy's Drop","Blackbird","1","1","567458","spotify:user:yaydevally","2016-12-23T13:49:14Z"
"spotify:track:6hhVS4jyOPioRJaY1zVRHj","The Bare Necessities","Bruce Reitherman, Phil Harris","The Jungle Book Original Soundtrack (English Version)","1","4","291813","spotify:user:yaydevally","2016-12-24T15:02:30Z"
"spotify:track:7FSDp0tqxA50yuMAOWggWL","Follow Birds","Robot Koch","Cosmic Waves","1","4","112034","spotify:user:yaydevally","2017-01-03T16:06:32Z"
"spotify:track:0v6xtGeecvTm91f3Bsc22k","Oracle - original","Sebastien Leger","Oracle EP","1","1","535991","spotify:user:yaydevally","2017-01-03T16:09:10Z"
"spotify:track:7MtMzHYZPhxNiiVNT2W86J","Daytime","Nalepa","Night Bloom EP","1","2","339428","spotify:user:yaydevally","2017-01-03T16:41:40Z"
"spotify:track:3PlISmMU7prdRBG6zLcGfi","Keep You Kimi","Hird, Yukimi Nagano","Moving On","1","2","388506","spotify:user:yaydevally","2017-01-04T09:30:17Z"
"spotify:track:4Q1iSkLmBDb2TBf2BAx3PJ","Yma","Boozoo Bajou","Satta","1","1","390000","spotify:user:yaydevally","2017-01-04T09:30:23Z"
"spotify:track:3VYFXRV9FQZq6bFJdJwWR4","Keep You Hird","Hird, Yukimi Nagano","Keep You Hird","1","2","393520","spotify:user:yaydevally","2017-01-04T12:44:19Z"
